vendor_name,vendor_description,vendor_url,product_name,product_description,product_url,technologies
Flock Safety,"AI-powered ALPR and audio gunshot detection for vehicle fingerprinting and public safety.",https://flocksafety.com,Falcon,"Solar-powered ALPR camera system designed for easy deployment without external power or connectivity requirements.",https://www.flocksafety.com/products/flock-safety-cameras,alpr
Flock Safety,"AI-powered ALPR and audio gunshot detection for vehicle fingerprinting and public safety.",https://flocksafety.com,Raven,"Audio detection system that identifies and locates gunshots, glass breaks, and other critical sounds.",,gunshot_detection|video_analytics
Axon,"Digital evidence management and real-time camera integration (RTCC). Formerly TASER International.",https://axon.com,Evidence.com,"Cloud-based digital evidence management system for storing, managing, and sharing body camera footage and other digital evidence.",https://www.axon.com/products/axon-evidence,body_camera|video_analytics
Axon,"Digital evidence management and real-time camera integration (RTCC). Formerly TASER International.",https://axon.com,Fusus,"Real-time crime center platform that integrates private business/home cameras into a central police dashboard.",https://fusus.com,video_analytics|osint
Axon,"Digital evidence management and real-time camera integration (RTCC). Formerly TASER International.",https://axon.com,Axon Body 4,"Fourth-generation body-worn camera with improved low-light performance, longer battery life, and integrated LTE connectivity.",https://www.axon.com/products/axon-body-4,body_camera
Axon,"Digital evidence management and real-time camera integration (RTCC). Formerly TASER International.",https://axon.com,Axon Fleet 3,"In-car video system with automatic ALPR capabilities and integration with body cameras.",https://www.axon.com/products/axon-fleet-3,alpr|body_camera|video_analytics
Clearview AI,"Facial recognition via a database of billions of images scraped from the web.",https://clearview.ai,Clearview 2.0,"Facial recognition search tool that matches faces against a database of over 30 billion images collected from the public internet.",,facial_recognition|osint
Motorola Solutions,"ALPR (Vigilant), body-worn cameras, and unified command center software for public safety.",https://motorolasolutions.com,Vigilant,"ALPR analytics platform that provides vehicle intelligence and investigation tools using license plate reader data.",https://www.motorolasolutions.com/products/video-security-analytics/license-plate-recognition.html,alpr
Motorola Solutions,"ALPR (Vigilant), body-worn cameras, and unified command center software for public safety.",https://motorolasolutions.com,CommandCentral,"Unified command center software platform for coordinating public safety operations and data.",,video_analytics|osint
Motorola Solutions,"ALPR (Vigilant), body-worn cameras, and unified command center software for public safety.",https://motorolasolutions.com,V300 Body Camera,"Professional body-worn camera with HD video, wide-angle lens, and integration with CommandCentral digital evidence management.",,body_camera
SoundThinking,"Acoustic gunshot detection and investigative data search. Formerly ShotSpotter.",https://soundthinking.com,ShotSpotter,"Real-time gunshot detection and alert system that uses acoustic sensors to detect, locate, and alert police to gunfire.",https://www.soundthinking.com/law-enforcement/shotspotter/,gunshot_detection
SoundThinking,"Acoustic gunshot detection and investigative data search. Formerly ShotSpotter.",https://soundthinking.com,CrimeTracer,"Investigative data search platform formerly known as COPLINK for cross-referencing crime data.",,osint|predictive_policing
Rekor Systems,"AI vehicle recognition and ALPR that identifies make, model, and color.",https://rekor.ai,Rekor Scout,"AI-powered vehicle recognition system that identifies make, model, color, and other vehicle attributes beyond license plates.",,alpr|video_analytics
Palantir,"Massive data fusion and analytics for predictive and investigative policing.",https://palantir.com,Gotham,"Data integration and analysis platform used by law enforcement for investigations, pattern analysis, and intelligence operations.",https://www.palantir.com/platforms/gotham/,osint|predictive_policing
Geolitica,"Predictive policing software that identifies crime hotspots via historical data. Formerly PredPol.",https://geolitica.com,PredPol,"Predictive policing software that uses machine learning to predict where property crimes are likely to occur.",,predictive_policing
Verkada,"Cloud-based physical security, facial matching, and environmental sensors.",https://verkada.com,Command,"Cloud-based physical security platform with video surveillance, facial matching, and environmental sensors.",,video_analytics|facial_recognition
Genetec,"Large-scale Video Management System (VMS) and ALPR integration.",https://genetec.com,AutoVu,"ALPR system for fixed and mobile license plate recognition with analytics and hot list alerting.",,alpr
Genetec,"Large-scale Video Management System (VMS) and ALPR integration.",https://genetec.com,Omnicast,"Enterprise video management system for large-scale video surveillance deployments.",,video_analytics
Genetec,"Large-scale Video Management System (VMS) and ALPR integration.",https://genetec.com,Stratocast,"Cloud-based video surveillance platform for smaller deployments with unified management.",,video_analytics
Genetec,"Large-scale Video Management System (VMS) and ALPR integration.",https://genetec.com,Citigraf,"Situational awareness platform that unifies video, ALPR, and IoT data into a single map.",,video_analytics|alpr|osint
BriefCam,"Rapid video review and object search for video analytics.",https://briefcam.com,Video Analytics,"AI-powered video analytics platform for rapid video review and object search (e.g., show all men in red shirts).",,video_analytics
Vintra,"AI video analytics that identifies specific behaviors, weapons, or faces.",https://vintra.io,Vintra Fortify,"AI video analytics platform that identifies specific behaviors, weapons, or faces in video feeds.",,video_analytics|facial_recognition
Babel Street,"Open-source intelligence (OSINT) and social media monitoring tools.",https://babelstreet.com,Rosette,"AI-powered natural language processing for analyzing text in multiple languages across open sources.",,osint
Babel Street,"Open-source intelligence (OSINT) and social media monitoring tools.",https://babelstreet.com,X-Stream,"Platform for scraping social media and deep web to map digital relationships and location data.",,osint|social_media_monitoring
Babel Street,"Open-source intelligence (OSINT) and social media monitoring tools.",https://babelstreet.com,Locate X,"Location intelligence tool that uses mobile advertising data to track device movements and identify patterns.",,geofence|osint
ZeroEyes,"AI-driven visual gunshot and visible weapon detection for CCTV.",https://zeroeyes.com,Weapon Detection,"AI-driven weapon detection system that identifies visible firearms in CCTV feeds.",,video_analytics
Databuoy,"Outdoor/indoor acoustic gunshot localization using sensor arrays.",https://databuoy.com,ShotPoint,"Acoustic gunshot localization system using sensor arrays for outdoor and indoor environments.",,gunshot_detection
Elsag (Leonardo),"Fixed and mobile ALPR systems used extensively for highway and city monitoring.",https://elsag.com,Plate Hunter,"High-performance fixed and mobile ALPR system for highway and city monitoring.",,alpr
Jenoptik,"High-resolution ALPR and traffic enforcement cameras with optical character recognition.",https://jenoptik.us,Vector,"High-resolution ALPR and traffic enforcement camera system with advanced optical character recognition.",,alpr
Perceptics,"Specializes in high-speed, high-accuracy plate and DOT number reading for borders/localities.",https://perceptics.com,ALPR Systems,"High-speed, high-accuracy license plate and DOT number reading systems for borders and localities.",,alpr
Dataminr,"AI platform that monitors social media/web for breaking events and alerts local agencies.",https://dataminr.com,First Alert,"AI platform that monitors social media and web for breaking events and alerts public safety agencies in real-time.",,osint|social_media_monitoring
Voyager Labs,"AI-based investigation and social media analysis tools for law enforcement.",https://voyager-labs.com,VoyagerCheck,"AI platform that analyzes social media profiles to assess risk and uncover hidden connections.",,social_media_monitoring|osint
Fivecast,"AI-enabled open-source intelligence used for mass data collection from online platforms.",https://fivecast.com,Fivecast ONYX,"AI-enabled OSINT platform for mass data collection and analysis from online platforms.",,osint|social_media_monitoring
NEC Corporation,"Massive-scale facial recognition and biometric ID used by major cities and transit hubs.",https://necam.com,NeoFace,"Large-scale facial recognition and biometric identification system for cities and transit hubs.",,facial_recognition
Idemia,"Fingerprint, iris, and facial recognition terminals and backend matching software.",https://idemia.com,Morpho,"Multi-modal biometric system including fingerprint, iris, and facial recognition with backend matching.",,facial_recognition
Mark43,"Cloud-native dispatch and records system that centralizes investigative data.",https://mark43.com,CAD / RMS,"Cloud-native computer-aided dispatch and records management system for centralized investigative data.",,osint
CentralSquare,"Mass-market records and dispatch software for mid-to-small municipalities.",https://centralsquare.com,Public Safety Suite,"Integrated records and dispatch software suite designed for mid-to-small municipalities.",,osint
Skydio,"Autonomous drones for Drone as First Responder (DFR) programs.",https://skydio.com,Skydio 2+,"Autonomous drone with AI-powered flight capabilities for public safety and enterprise applications.",,drone|video_analytics
Skydio,"Autonomous drones for Drone as First Responder (DFR) programs.",https://skydio.com,Skydio X10,"Enterprise drone with thermal and visual cameras for public safety, infrastructure inspection, and security.",https://www.skydio.com/skydio-x10,drone|video_analytics
Teledyne FLIR,"High-end thermal imaging cameras for helicopters, drones, and fixed mounts.",https://flir.com,SkyRanger,"Thermal imaging systems for aerial platforms including helicopters and drones.",,drone|video_analytics
Teledyne FLIR,"High-end thermal imaging cameras for helicopters, drones, and fixed mounts.",https://flir.com,FLIR Thermal,"High-end thermal imaging cameras for fixed installations and mobile surveillance.",,video_analytics
LiveView Technologies (LVT),"Portable, solar-powered surveillance towers with AI cameras and speakers.",https://lvt.com,Mobile Trailers,"Portable, solar-powered surveillance towers with AI cameras, speakers, and remote monitoring.",,video_analytics
EAGL Technology,"Gunshot detection that uses energy and frequency analysis (alternative to ShotSpotter).",https://eagltechnology.com,FireFly,"Gunshot detection system using energy and frequency analysis for outdoor environments.",,gunshot_detection
AmberBox,"Specialized indoor gunshot detection for schools and government buildings.",https://amberbox.com,Indoor Detection,"Indoor gunshot detection system designed for schools and government buildings.",,gunshot_detection
Cellebrite,"Digital intelligence solutions for extracting and analyzing data from mobile devices.",https://cellebrite.com,UFED,"Universal Forensic Extraction Device for extracting data from mobile phones, tablets, and other digital devices.",https://www.cellebrite.com/en/ufed/,csli|osint
Cellebrite,"Digital intelligence solutions for extracting and analyzing data from mobile devices.",https://cellebrite.com,Physical Analyzer,"Software for analyzing extracted mobile device data including call logs, messages, location data, and app data.",,csli|osint
Magnet Forensics,"Digital investigation platform for mobile, cloud, and computer data.",https://magnetforensics.com,Axiom,"Digital investigation platform for analyzing data from mobile devices, cloud services, and computers.",,csli|osint
Harris Corporation (L3Harris),"Cell-site simulators and other surveillance technology used by law enforcement and intelligence agencies.",https://l3harris.com,StingRay,"Cell-site simulator that mimics a cell tower to intercept mobile phone communications and track device locations.",,stingray|csli
Harris Corporation (L3Harris),"Cell-site simulators and other surveillance technology used by law enforcement and intelligence agencies.",https://l3harris.com,Hailstorm,"Advanced cell-site simulator capable of operating on 4G LTE networks with enhanced interception capabilities.",,stingray|csli
